strategy,underlying,vehicle,fast_period,fast_mult,mid_period,mid_mult,slow_period,slow_mult,exit_mode,trail_target,time_stop_bars,adx_min,full_trades,full_wr_pct,full_pf,full_ret_pct,full_sharpe,full_max_dd,is_pf,is_ret_pct,oos_trades,oos_wr_pct,oos_pf,oos_ret_pct,oos_sharpe,oos_max_dd,vol_surge_mult,min_body_ratio,opening_lockout_min,tranche_a_r,stagnation_bars
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,none,20,464,37.5,0.98,-2.74,-0.11,14.67,1.03,2.65,136,40.4,0.89,-5.39,-0.49,13.1,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,none,20,464,33.8,1.02,1.04,0.08,8.12,1.1,3.97,136,37.5,0.88,-2.93,-0.54,6.79,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,18,20,464,37.5,0.99,-0.67,-0.03,13.09,1.05,4.27,136,40.4,0.9,-4.94,-0.44,13.0,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,18,20,464,33.8,1.04,2.94,0.22,6.66,1.13,5.34,136,37.5,0.9,-2.4,-0.43,6.56,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,30,20,464,37.5,0.98,-1.97,-0.08,13.98,1.03,2.65,136,40.4,0.91,-4.62,-0.41,12.39,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,30,20,464,33.8,1.02,1.63,0.12,7.58,1.1,3.97,136,37.5,0.91,-2.33,-0.42,6.21,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,48,20,464,37.5,0.98,-2.74,-0.11,14.67,1.03,2.65,136,40.4,0.89,-5.39,-0.49,13.1,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,48,20,464,33.8,1.02,1.04,0.08,8.12,1.1,3.97,136,37.5,0.88,-2.93,-0.54,6.79,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,none,25,265,36.6,0.99,-0.91,-0.07,16.11,0.92,-3.81,78,43.6,1.11,2.9,0.35,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,none,25,265,32.8,1.03,0.93,0.12,8.73,0.99,-0.16,78,42.3,1.08,1.08,0.26,2.42,,,,,
